"REF_DATE","GEO","DGUID","Level of study","Type of debt source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Canada","2016A000011124","College","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835548","1.1.1.1","49","","","","0"
"2000","Canada","2016A000011124","College","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835549","1.1.1.2","12","","","","0"
"2000","Canada","2016A000011124","College","Graduates who owed money for their education to any source (government or non-government)","Average debt owed to the source at graduation","Dollars","81","units","0","v88835550","1.1.1.3","12700","","","","0"
"2000","Canada","2016A000011124","College","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835551","1.1.1.4","20","","","","0"
"2000","Canada","2016A000011124","College","Graduates who owed money for their education to any source (government or non-government)","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835552","1.1.1.5","10600","","","","0"
"2000","Canada","2016A000011124","College","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835553","1.1.2.1","41","","","","0"
"2000","Canada","2016A000011124","College","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835554","1.1.2.2","12","","","","0"
"2000","Canada","2016A000011124","College","Graduates who owed money for their education to government-sponsored student loans","Average debt owed to the source at graduation","Dollars","81","units","0","v88835555","1.1.2.3","12500","","","","0"
"2000","Canada","2016A000011124","College","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835556","1.1.2.4","17","","","","0"
"2000","Canada","2016A000011124","College","Graduates who owed money for their education to government-sponsored student loans","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835557","1.1.2.5","10300","","","","0"
"2000","Canada","2016A000011124","College","Graduates who owed money for their education to non-government sources","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835558","1.1.3.1","16","","","","0"
"2000","Canada","2016A000011124","College","Graduates who owed money for their education to non-government sources","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835559","1.1.3.2","2","E","","","0"
"2000","Canada","2016A000011124","College","Graduates who owed money for their education to non-government sources","Average debt owed to the source at graduation","Dollars","81","units","0","v88835560","1.1.3.3","6800","","","","0"
"2000","Canada","2016A000011124","College","Graduates who owed money for their education to non-government sources","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835561","1.1.3.4","40","","","","0"
"2000","Canada","2016A000011124","College","Graduates who owed money for their education to non-government sources","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835562","1.1.3.5","6800","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835563","1.2.1.1","53","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835564","1.2.1.2","33","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Graduates who owed money for their education to any source (government or non-government)","Average debt owed to the source at graduation","Dollars","81","units","0","v88835565","1.2.1.3","20600","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835566","1.2.1.4","22","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Graduates who owed money for their education to any source (government or non-government)","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835567","1.2.1.5","17200","","","","0"
