Occupation_Name,Recent_Labour_Market_Conditions
Legislators and senior management,BALANCE
Financial managers,BALANCE
Human resources managers,BALANCE
"Purchasing managers & Senior managershealth, education, social and community services and membership organizations",BALANCE
"Insurance, real estate and financial brokerage managers",BALANCE
"Banking, credit and other investment managers",BALANCE
"Advertising, marketing and public relations managers & Other business services managers",BALANCE
Managers in communication (except broadcasting),BALANCE
Engineering managers & Architecture and science managers,BALANCE
Computer and information systems managers,BALANCE
Managers in health care,BALANCE
Managers in public administration,BALANCE
Administratorspost-secondary education and vocational training,BALANCE
School principals and administrators of elementary and secondary education,BALANCE
"Managers in social, community and correctional services",BALANCE
Managers in public protection services,BALANCE
"Managers in art, culture, recreation and sport",BALANCE
Corporate sales managers,BALANCE
Retail and wholesale trade managers,BALANCE
Restaurant and food service managers,BALANCE
Accommodation service managers,BALANCE
"Managers in customer and personal services, n.e.c.",BALANCE
Construction managers,BALANCE
Home building and renovation managers,BALANCE
Facility operation and maintenance managers,BALANCE
Managers in transportation,BALANCE
Managers in natural resources production and fishing,BALANCE
"Managers in agriculture, horticulture and aquaculture",BALANCE
Managers in manufacturing and utilities,BALANCE
Financial auditors and accountants,BALANCE
Financial and investment analysts,BALANCE
"Securities agents, investment dealers and brokers",BALANCE
Other financial officers,BALANCE
Human resources professionals,BALANCE
Professional occupations in business management consulting,BALANCE
"Professional occupations in advertising, marketing and public relations",BALANCE
"Supervisors, general office and administrative support workers",BALANCE
"Supervisors, finance and insurance office workers",BALANCE
"Supervisors, library, correspondence and related information workers; Supervisors, mail and message distribution occupations & Supervisors, supply chain, tracking and scheduling co-ordination occupations",BALANCE
Administrative officers,BALANCE
Executive assistants,BALANCE
Human resources and recruitment officers,BALANCE
Property administrators,BALANCE
Purchasing agents and officers,BALANCE
Conference and event planners,BALANCE
Court officers and justices of the peace & Court officers and justices of the peace,BALANCE
Administrative assistants,BALANCE
Legal administrative assistants,BALANCE
Medical administrative assistants,BALANCE
"Court reporters, transcriptionists, records management technicians And statistical officers",BALANCE
Accounting technicians and bookkeepers,BALANCE
"Insurance adjusters and claims examiners; Insurance underwriters; Assessors, valuators and appraisers & Customs, ship and other brokers",BALANCE
General office support workers,BALANCE
Receptionists,BALANCE
Personnel clerks,BALANCE
Data entry clerks & Desktop publishing operators and related occupations,SURPLUS
Accounting and related clerks,BALANCE
Payroll administrators,BALANCE
"Banking, insurance and other financial clerks & Collectors",BALANCE
"Library, correspondence and other clerks",SURPLUS
"Mail, postal and related workers",BALANCE
Letter carriers,BALANCE
"Couriers, messengers and door-to-door distributors",SURPLUS
Shippers and receivers,BALANCE
Storekeepers and partspersons; Production logistics co-ordinators & Purchasing and inventory control workers,BALANCE
Dispatchers & Transportation route and crew schedulers,BALANCE
Physical science professionals,BALANCE
Life science professionals,BALANCE
Civil engineers,BALANCE
Mechanical engineers,SHORTAGE
Electrical and electronics engineers,BALANCE
Chemical engineers,BALANCE
Industrial and manufacturing engineers & Metallurgical and materials engineers,BALANCE
Mining engineers; Geological engineers & Petroleum engineers,BALANCE
"Aerospace engineers & Other professional engineers, n.e.c.",BALANCE
Computer engineers (except software engineers and designers),SHORTAGE
Architects,BALANCE
Landscape architects; Urban and land use planners & Land surveyors,BALANCE
"Mathematicians, statisticians and actuaries",SHORTAGE
Information systems analysts and consultants,SHORTAGE
Database analysts and data administrators,SHORTAGE
Software engineers and designers,SHORTAGE
Computer programmers and interactive media developers,SHORTAGE
Web designers and developers,BALANCE
Technical occupations in physical sciences,BALANCE
Biological technologists and technicians,BALANCE
Agricultural and fish products inspectors; Forestry technologists and technicians & Conservation and fishery officers,BALANCE
Landscape and horticulture technicians and specialists,BALANCE
Civil engineering technologists and technicians,BALANCE
Mechanical engineering technologists and technicians,SHORTAGE
Industrial engineering and manufacturing technologists and technicians,BALANCE
Construction estimators,BALANCE
Electrical and electronics engineering technologists and technicians,BALANCE
Electronic service technicians (household and business equipment),BALANCE
"Industrial instrument technicians and mechanics & Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",BALANCE
"Technical occupations in architecture, drafting, surveying, geomatics",BALANCE
Non-destructive testers and inspection technicians; Engineering inspectors and regulatory officers & Inspectors in public and environmental health and occupational health and safety,BALANCE
Construction inspectors,BALANCE
Transportation officers and controllers,BALANCE
Computer network technicians,BALANCE
User support technicians & Information systems testing technicians,BALANCE
Nursing co-ordinators and supervisors,SHORTAGE
Registered nurses and registered psychiatric nurses,SHORTAGE
Specialist physicians,SHORTAGE
General practitioners and family physicians,SHORTAGE
Dentists,BALANCE
Veterinarians,BALANCE
"Optometrists, chiropractors and other health diagnosing and treating professionals",SHORTAGE
Pharmacists,BALANCE
Dietitians and nutritionists,BALANCE
Audiologists and speech-language pathologists,BALANCE
Physiotherapists,SHORTAGE
Occupational therapists & Other professional occupations in therapy and assessment,BALANCE
Medical laboratory technologists & Medical laboratory technicians and pathologists' assistants,SHORTAGE
Animal health technologists and veterinary technicians,BALANCE
"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists; Medical radiation technologists & Medical sonographers",SHORTAGE
"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c. & Other medical technologists and technicians (except dental health)",SHORTAGE
Technical occupations in dental health care,BALANCE
Opticians,BALANCE
Practitioners of natural healing; Massage therapists & Other technical occupations in therapy and assessment,BALANCE
Licensed practical nurses,SHORTAGE
Paramedical occupations,BALANCE
Dental assistants,BALANCE
"Nurse aides, orderlies and patient service associates & Other assisting occupations in support of health services",SHORTAGE
University professors and lecturers,BALANCE
Post-secondary teaching and research assistants,BALANCE
College and other vocational instructors,BALANCE
Secondary school teachers,BALANCE
Elementary school and kindergarten teachers,BALANCE
Educational counsellors,BALANCE
"Judges, lawyers and Quebec notaries",BALANCE
Psychologists,BALANCE
Social workers & Probation and parole officers and related occupations,BALANCE
"Family, marriage and other related counsellors",BALANCE
Professional occupations in religion,BALANCE
Employment counsellors,BALANCE
"Natural and applied science policy researchers, consultants and program officers",BALANCE
Economists and economic policy researchers and analysts & Business development officers and marketing researchers and consultants,BALANCE
"Social policy researchers, consultants and program officers & Health policy researchers, consultants and program officers",BALANCE
"Education policy researchers, consultants and program officers & Recreation, sports and fitness policy researchers, consultants and program officers",BALANCE
"Program officers unique to government & Other professional occupations in social science, n.e.c.",BALANCE
Paralegal and related occupations,BALANCE
Social and community service workers,BALANCE
Early childhood educators and assistants,BALANCE
Instructors of persons with disabilities,BALANCE
Other instructors & Other religious occupations,BALANCE
Police officers (except commissioned),BALANCE
Firefighters & Non-commissioned ranks of the Canadian Armed Forces,BALANCE
Home child care providers,BALANCE
"Home support workers, housekeepers and related occupations",BALANCE
Elementary and secondary school teacher assistants,BALANCE
Legal and public protection support occupations,BALANCE
"Librarians, archivists, conservators and curators",BALANCE
Authors and writers; Editors & Journalists,BALANCE
"Translators, terminologists and interpreters",BALANCE
"Producers, directors, choreographers and related occupations & Conductors, composers and arrangers",BALANCE
"Musicians and singers; Dancers; Actors and comedians & Painters, sculptors and other visual artists",BALANCE
"Technical occupations in libraries, public archives, museums and art g",SURPLUS
Photographers,BALANCE
"Film/video camera operators; Graphic arts technicians; Broadcast technicians; Audio/video recording technicians; Other technical / co-ordinating occupations in motion pictures, broadcasting, arts & Support occupations in motion pictures, broadcasting, photography and the performing arts",BALANCE
"Announcers and other performers, n.e.c.",BALANCE
Graphic designers and illustrators,SHORTAGE
Interior designers and interior decorators,SHORTAGE
"Theatre, fashion, exhibit and other creative designers & Artisans and craftspersons; Patternmakerstextile, leather and fur products",BALANCE
"Athletes, coaches, referees and related occupations",BALANCE
Retail sales supervisors,BALANCE
Technical sales specialistswholesale trade,BALANCE
Retail and wholesale buyers,BALANCE
Insurance agents and brokers,BALANCE
Real estate agents and salespersons,BALANCE
Financial sales representatives,BALANCE
Food service supervisors,BALANCE
"Executive housekeepers & Accommodation, travel, tourism and related services supervisors; Customer and information services supervisors; Cleaning supervisors; Other services supervisors",BALANCE
Chefs,BALANCE
Cooks,BALANCE
"Butchers, meat cutters and fishmongersretail and wholesale",BALANCE
Bakers,BALANCE
Hairstylists and barbers,BALANCE
"Tailors, dressmakers, furriers and milliners & Shoe repairers and shoemakers; Jewellers, jewellery and watch repairers and related occupations; Upholsterers; Funeral directors and embalmers",BALANCE
Sales and account representativeswholesale trade (non-technical),BALANCE
Retail salespersons,BALANCE
Maîtres d'hôtel and hosts/hostesses,BALANCE
Bartenders,BALANCE
Food and beverage servers,BALANCE
Travel counsellors,BALANCE
Pursers and flight attendants,BALANCE
"Airline ticket and service agents & Ground and water transport ticket agents, cargo service representatives and related clerks",BALANCE
Hotel front desk clerks,BALANCE
Tourism and amusement services occupations,BALANCE
Security guards and related security service occupations,BALANCE
Customer services representativesfinancial institutions,BALANCE
Other customer and information services representatives,BALANCE
"Image, social and other personal consultants; Pet groomers and animal care workers & Other personal service occupations",BALANCE
"Estheticians, electrologists and related occupations",BALANCE
Cashiers,BALANCE
Service station attendants,BALANCE
"Store shelf stockers, clerks and order fillers",BALANCE
Other sales related occupations,BALANCE
"Food counter attendants, kitchen helpers and related support occupations",BALANCE
"Support occupations in accommodation, travel and amusement services",BALANCE
Light duty cleaners,BALANCE
Specialized cleaners,BALANCE
"Janitors, caretakers and building superintendents",BALANCE
"Other service support and related occupations, n.e.c.",BALANCE
